,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,id,Race
1847,Bachelors,2016,Bangalore,3,27.0,Male,Yes,4,1847,white
2905,Bachelors,2012,Bangalore,3,28.0,Male,No,4,2905,white
4610,Bachelors,2015,Pune,3,26.0,Female,No,2,4610,white
2228,Bachelors,2012,Bangalore,3,29.0,Male,No,1,2228,black
5,Bachelors,2016,Bangalore,3,24.0,Male,No,0,5,white
4410,Bachelors,2017,Bangalore,3,40.0,Male,No,1,4410,black
1706,Bachelors,2017,Bangalore,3,28.0,Female,No,4,1706,white
4144,Bachelors,2014,Bangalore,3,23.0,Male,No,0,4144,white
3967,Bachelors,2012,Bangalore,3,42.0,Female,No,5,3967,white
4245,Bachelors,2013,New Delhi,3,37.0,Female,No,0,4245,white
4306,Bachelors,2016,Bangalore,3,35.0,Female,No,0,4306,white
1623,Bachelors,2012,Pune,3,28.0,Male,No,4,1623,white
1741,Bachelors,2016,New Delhi,3,30.0,Male,No,4,1741,black
3521,Bachelors,2013,Bangalore,3,33.0,Male,No,2,3521,white
1888,Bachelors,2018,Bangalore,3,29.0,Female,No,5,1888,white
81,Bachelors,2013,Bangalore,3,32.0,Female,No,0,81,white
4186,Bachelors,2014,New Delhi,3,30.0,Female,No,2,4186,white
466,Bachelors,2013,Bangalore,3,27.0,Male,Yes,4,466,white
4285,Bachelors,2018,Bangalore,3,39.0,Male,No,2,4285,white
3814,Bachelors,2015,Bangalore,3,41.0,Male,No,0,3814,white
1558,Bachelors,2013,Bangalore,3,26.0,Male,No,2,1558,black
1211,Bachelors,2016,Bangalore,3,28.0,Female,No,4,1211,black
4603,Bachelors,2014,Bangalore,3,29.0,Male,No,4,4603,white
434,Bachelors,2017,Pune,3,28.0,Male,No,5,434,white
1932,Bachelors,2014,Bangalore,3,28.0,Male,No,4,1932,white
3380,PHD,2016,New Delhi,3,42.0,Male,No,1,3380,white
2268,Bachelors,2014,Bangalore,3,32.0,Female,No,2,2268,white
2152,Masters,2014,New Delhi,3,31.0,Male,No,1,2152,white
3028,Bachelors,2014,Pune,2,37.0,Female,No,3,3028,black
4264,Bachelors,2016,Bangalore,3,29.0,Male,Yes,5,4264,black
2239,Bachelors,2017,Pune,2,28.0,Male,No,5,2239,white
3097,Bachelors,2017,New Delhi,2,34.0,Female,No,2,3097,white
3202,Bachelors,2015,Pune,3,35.0,Male,No,4,3202,black
1947,Bachelors,2013,Bangalore,3,26.0,Female,No,3,1947,white
2264,Bachelors,2016,Pune,3,30.0,Male,No,2,2264,white
2184,Bachelors,2014,Bangalore,3,28.0,Female,No,4,2184,black
1298,Bachelors,2016,Bangalore,3,29.0,Male,No,2,1298,yellow
826,Bachelors,2012,New Delhi,3,28.0,Female,No,5,826,white
2124,Bachelors,2015,Pune,2,28.0,Female,No,5,2124,black
370,Bachelors,2017,Bangalore,3,30.0,Male,No,3,370,white
4013,Bachelors,2017,Pune,3,27.0,Male,No,3,4013,black
103,Bachelors,2015,Pune,2,30.0,Female,Yes,1,103,black
3571,Bachelors,2018,Bangalore,3,40.0,Male,Yes,3,3571,white
3559,Bachelors,2014,Bangalore,3,34.0,Male,No,1,3559,white
282,Bachelors,2015,Pune,1,27.0,Female,No,3,282,white
4199,Bachelors,2012,Bangalore,1,37.0,Male,No,4,4199,white
2577,Masters,2017,New Delhi,2,32.0,Female,No,2,2577,white
3186,Bachelors,2014,Bangalore,3,39.0,Male,No,2,3186,white
3648,Bachelors,2015,New Delhi,3,34.0,Female,No,2,3648,black
562,Bachelors,2016,Bangalore,3,28.0,Female,No,5,562,yellow
337,Bachelors,2013,Bangalore,3,25.0,Male,Yes,2,337,white
417,Bachelors,2016,Pune,3,27.0,Male,No,3,417,white
1563,Bachelors,2018,Pune,2,30.0,Female,No,5,1563,white
1829,Masters,2017,Pune,2,29.0,Female,No,5,1829,white
3578,Masters,2015,New Delhi,3,41.0,Female,No,2,3578,white
3170,Bachelors,2017,Bangalore,3,36.0,Female,No,3,3170,black
1957,Bachelors,2013,Bangalore,3,27.0,Male,No,4,1957,yellow
4580,Bachelors,2016,Bangalore,3,27.0,Male,No,3,4580,black
2743,Bachelors,2017,Pune,2,29.0,Male,No,5,2743,white
2254,Bachelors,2015,Bangalore,3,29.0,Male,No,2,2254,white
4096,Bachelors,2018,Bangalore,3,41.0,Male,No,4,4096,white
4,Masters,2017,Pune,3,26.0,Male,Yes,2,4,white
133,Masters,2017,Bangalore,3,27.0,Male,No,4,133,white
2001,Bachelors,2016,New Delhi,3,29.0,Female,Yes,5,2001,white
585,Bachelors,2014,Bangalore,3,27.0,Male,No,3,585,white
2341,PHD,2014,Bangalore,3,29.0,Male,No,5,2341,white
3142,Bachelors,2012,Bangalore,3,38.0,Male,No,4,3142,white
2759,Bachelors,2017,Pune,3,31.0,Female,No,1,2759,white
2336,Bachelors,2014,Pune,3,32.0,Male,No,1,2336,black
1948,Bachelors,2015,New Delhi,2,26.0,Female,No,2,1948,white
111,Bachelors,2017,Pune,2,29.0,Female,No,5,111,black
1699,Bachelors,2012,Bangalore,3,28.0,Male,No,4,1699,white
3562,Bachelors,2012,Bangalore,3,33.0,Male,No,3,3562,black
3339,Masters,2014,New Delhi,3,39.0,Male,No,2,3339,white
1713,Bachelors,2013,Bangalore,3,28.0,Male,No,5,1713,black
236,Bachelors,2014,New Delhi,3,26.0,Female,No,2,236,white
820,Masters,2017,New Delhi,2,25.0,Male,No,2,820,white
677,Bachelors,2014,Bangalore,3,27.0,Female,No,3,677,white
3072,Bachelors,2017,Bangalore,3,37.0,Male,Yes,2,3072,white
1664,Bachelors,2012,Pune,1,28.0,Male,No,4,1664,white
2082,Bachelors,2015,Bangalore,1,29.0,Male,No,5,2082,black
1776,Bachelors,2016,Bangalore,3,26.0,Male,No,3,1776,white
4573,Bachelors,2015,Bangalore,3,33.0,Female,No,4,4573,white
2945,Bachelors,2012,Pune,2,28.0,Female,No,5,2945,black
3194,Bachelors,2013,Pune,2,38.0,Female,No,0,3194,white
781,Bachelors,2013,Bangalore,3,27.0,Male,No,4,781,white
3251,Bachelors,2016,Bangalore,3,39.0,Female,No,0,3251,white
3116,Bachelors,2016,Pune,2,39.0,Female,No,5,3116,white
4202,Bachelors,2012,Bangalore,3,37.0,Female,No,3,4202,white
2858,Bachelors,2014,Bangalore,3,30.0,Male,No,4,2858,black
1500,Bachelors,2016,Bangalore,3,30.0,Male,No,2,1500,white
253,Bachelors,2017,Bangalore,3,30.0,Male,No,2,253,black
4592,Bachelors,2013,New Delhi,3,29.0,Female,No,0,4592,black
3153,Masters,2013,Pune,3,38.0,Male,No,2,3153,white
1012,Bachelors,2014,Bangalore,3,28.0,Male,No,4,1012,white
2161,Bachelors,2013,Bangalore,3,28.0,Male,No,5,2161,white
2478,Bachelors,2012,Pune,3,27.0,Male,No,4,2478,white
3805,Bachelors,2016,Bangalore,3,41.0,Male,No,0,3805,white
4148,Bachelors,2015,Bangalore,3,30.0,Male,No,2,4148,white
272,Bachelors,2013,Pune,3,29.0,Male,No,1,272,white
4408,Bachelors,2013,Bangalore,3,29.0,Female,No,5,4408,white
696,Bachelors,2017,Bangalore,3,28.0,Male,No,4,696,white
2502,Bachelors,2013,New Delhi,3,27.0,Male,No,4,2502,black
71,Masters,2017,Bangalore,3,32.0,Male,No,4,71,white
2346,Bachelors,2013,Bangalore,1,29.0,Female,No,1,2346,white
3302,Bachelors,2016,Bangalore,1,41.0,Male,No,2,3302,white
2755,Bachelors,2017,Bangalore,1,32.0,Male,No,1,2755,white
3553,Bachelors,2015,New Delhi,3,35.0,Male,No,1,3553,white
44,Bachelors,2015,Pune,3,41.0,Male,No,4,44,white
102,Masters,2017,New Delhi,3,27.0,Female,No,4,102,black
101,Bachelors,2013,Pune,3,26.0,Male,No,3,101,white
460,Bachelors,2013,Pune,3,26.0,Male,No,2,460,white
3726,Masters,2017,New Delhi,2,36.0,Female,No,0,3726,black
4259,Bachelors,2018,Pune,3,30.0,Male,Yes,0,4259,black
3267,Bachelors,2018,New Delhi,3,36.0,Female,No,2,3267,white
4316,Bachelors,2014,New Delhi,3,24.0,Male,No,1,4316,white
556,Bachelors,2012,Bangalore,3,25.0,Male,No,2,556,white
4399,Bachelors,2012,Bangalore,3,40.0,Male,No,4,4399,white
642,Bachelors,2018,Bangalore,3,28.0,Male,No,5,642,yellow
1896,Bachelors,2015,Pune,3,25.0,Female,No,2,1896,white
112,Bachelors,2013,Bangalore,3,29.0,Male,No,5,112,white
1343,PHD,2012,New Delhi,3,29.0,Female,No,1,1343,black
458,Masters,2015,New Delhi,3,25.0,Female,No,2,458,black
4649,Masters,2013,Pune,2,39.0,Male,No,2,4649,black
2225,Masters,2017,Pune,2,27.0,Female,No,4,2225,white
4033,Bachelors,2017,New Delhi,2,27.0,Female,No,3,4033,white
2012,Masters,2017,Pune,2,27.0,Female,No,4,2012,white
2824,Masters,2012,Pune,3,27.0,Male,No,4,2824,black
4190,Bachelors,2017,Bangalore,3,30.0,Male,No,2,4190,black
1031,Masters,2017,Pune,2,26.0,Female,No,3,1031,white
4340,Bachelors,2016,Pune,2,28.0,Female,No,5,4340,white
2084,Bachelors,2013,New Delhi,3,31.0,Female,No,1,2084,black
242,Bachelors,2013,Pune,2,29.0,Female,No,3,242,white
4079,Bachelors,2014,Pune,3,35.0,Male,No,4,4079,white
312,Bachelors,2017,Pune,3,26.0,Male,No,3,312,white
4076,Bachelors,2017,Bangalore,3,29.0,Male,Yes,3,4076,white
1772,Masters,2017,Bangalore,2,28.0,Female,No,4,1772,white
1796,Bachelors,2017,New Delhi,2,27.0,Male,No,4,1796,black
3898,Bachelors,2017,New Delhi,2,42.0,Female,No,0,3898,black
1107,Masters,2017,New Delhi,3,30.0,Male,No,2,1107,white
4252,Masters,2017,New Delhi,2,26.0,Female,No,3,4252,white
1507,Bachelors,2017,Bangalore,3,27.0,Male,No,3,1507,white
4014,Masters,2017,New Delhi,2,32.0,Female,No,2,4014,white
732,Bachelors,2013,Bangalore,3,29.0,Male,No,5,732,white
3681,Masters,2014,New Delhi,3,34.0,Male,No,3,3681,white
1347,Bachelors,2014,Pune,3,28.0,Male,No,4,1347,white
2709,PHD,2013,Bangalore,3,28.0,Male,No,5,2709,white
3537,Masters,2018,Bangalore,3,42.0,Female,No,3,3537,white
2168,Bachelors,2013,Pune,3,32.0,Male,No,2,2168,black
1650,Masters,2018,New Delhi,3,25.0,Male,No,2,1650,white
920,PHD,2018,New Delhi,3,25.0,Female,No,2,920,white
3209,Bachelors,2013,Bangalore,3,40.0,Male,No,1,3209,white
