,LeaveOrNot
1847,0
2905,0
4610,1
2228,0
5,0
4410,0
1706,0
4144,1
3967,0
4245,0
4306,0
1623,0
1741,0
3521,1
1888,1
81,1
4186,1
466,0
4285,1
3814,0
1558,0
1211,1
4603,0
434,0
1932,0
3380,0
2268,0
2152,0
3028,1
4264,0
2239,0
3097,0
3202,0
1947,0
2264,0
2184,0
1298,0
826,0
2124,1
370,0
4013,0
103,1
3571,1
3559,0
282,1
4199,0
2577,0
3186,0
3648,0
562,1
337,0
417,0
1563,1
1829,0
3578,0
3170,0
1957,0
4580,0
2743,0
2254,0
4096,1
4,1
133,0
2001,0
585,1
2341,0
3142,0
2759,1
2336,0
1948,1
111,1
1699,0
3562,0
3339,0
1713,1
236,0
820,1
677,1
3072,0
1664,0
2082,0
1776,0
4573,0
2945,1
3194,1
781,0
3251,0
3116,1
4202,0
2858,0
1500,0
253,0
4592,1
3153,0
1012,0
2161,0
2478,0
3805,0
4148,1
272,0
4408,0
696,0
2502,0
71,0
2346,0
3302,0
2755,0
3553,0
44,0
102,1
101,0
460,0
3726,0
4259,1
3267,1
4316,0
556,0
4399,0
642,1
1896,1
112,1
1343,0
458,0
4649,1
2225,1
4033,0
2012,0
2824,1
4190,0
1031,1
4340,1
2084,0
242,1
4079,0
312,0
4076,0
1772,0
1796,0
3898,0
1107,0
4252,1
1507,1
4014,0
732,0
3681,0
1347,0
2709,0
3537,1
2168,0
1650,1
920,1
3209,0
2818,1
323,0
4615,0
2735,0
2808,1
2608,0
1218,0
3143,1
953,1
851,1
3159,0
3066,0
1317,0
2221,1
4344,0
2863,0
2515,0
1771,1
209,1
2688,0
713,1
1900,0
2758,0
2527,0
4225,0
1801,0
3467,1
2880,0
969,0
4083,0
2324,0
1041,1
3410,0
2094,1
4405,1
261,1
1260,1
650,0
617,0
1746,0
1445,1
1758,1
1136,1
729,0
998,0
1635,1
1439,0
4242,1
570,0
768,0
2741,0
1321,0
4158,0
2175,1
3431,0
2954,1
3595,0
614,0
2015,1
827,1
4372,0
2455,0
290,0
226,1
4561,1
4064,0
1733,0
3609,0
1799,1
961,0
2348,1
1760,0
75,1
4241,0
411,1
401,0
2461,0
2510,0
1378,1
2614,0
1369,0
3750,0
463,1
4074,0
3002,0
1149,0
773,0
2293,0
838,1
3917,0
1576,1
2877,0
1460,0
3114,0
4589,0
1171,0
324,0
4512,0
2870,0
4359,0
3905,0
1166,0
336,0
540,0
3185,0
3168,1
3755,0
2252,0
3555,1
984,0
2604,0
4519,0
3438,1
3768,0
4534,0
1816,1
3754,0
1159,1
1992,0
1590,1
2420,1
318,1
2976,0
3584,0
2384,0
2149,0
1745,0
1602,0
897,1
3387,0
1830,0
2233,0
3242,1
4208,1
3799,0
2554,0
723,1
430,1
4504,0
4404,0
2521,1
2430,1
2854,1
660,0
3796,1
2855,0
76,0
4546,0
4495,0
2729,1
2574,0
1454,0
3940,0
2049,0
2085,1
1399,0
1423,1
846,1
108,0
2894,0
940,0
1848,0
2382,0
4623,0
2299,0
2558,1
1915,0
1518,0
426,0
93,0
1101,1
2187,0
2783,1
1244,0
158,1
919,0
1379,0
4552,0
3880,1
3843,0
2219,0
2213,0
4152,0
455,0
3262,0
3566,1
86,1
680,1
3524,0
2782,0
1015,0
4094,1
3547,0
2451,0
2361,0
787,1
2549,1
2787,0
2664,0
1622,0
143,0
3167,1
4268,0
627,0
2413,1
1881,0
1978,1
571,0
3997,0
3259,0
3336,0
922,0
2904,1
3661,1
4238,0
3313,0
3965,0
4433,1
3032,1
592,0
1561,0
1851,1
3081,0
4601,0
3564,1
930,0
2037,1
3224,0
3457,1
2392,0
3474,0
183,1
1493,1
3675,1
1604,0
2183,0
1367,0
2713,0
503,0
587,0
4157,1
2511,0
2589,0
1475,1
2513,0
788,0
4432,1
4532,0
472,0
2063,0
3005,1
3038,0
1662,0
3721,0
2011,1
2543,1
689,1
1078,0
441,1
3707,1
359,0
782,0
580,0
1231,0
547,0
3012,0
3684,1
3141,0
664,1
1864,0
109,1
2532,0
1630,0
550,0
1209,1
316,0
3365,1
3857,0
3861,0
180,1
2730,1
1918,0
2054,0
2414,0
1954,1
2583,0
1236,1
1059,0
132,0
486,1
3498,1
2032,1
681,0
1879,0
4600,0
1950,0
1396,0
4090,0
1775,0
2966,0
4020,0
3932,0
4481,0
4095,1
2027,0
3529,1
536,0
4513,1
4077,0
4554,1
4311,0
3641,0
2138,0
1362,1
2284,1
1550,1
3406,0
1972,0
269,1
960,0
4024,0
355,0
523,0
891,0
2921,1
4165,0
431,1
852,1
3026,1
2873,0
4267,0
1223,0
423,0
2710,1
4118,0
1519,0
1104,1
834,0
268,1
157,1
3808,0
1428,1
347,0
1228,0
4333,0
2182,0
2792,0
717,0
4590,1
2660,0
3165,0
98,0
4466,0
3837,1
2961,0
2584,1
2965,0
4593,1
2444,0
1221,0
107,0
684,1
3875,0
3107,0
362,0
3552,1
2389,0
2416,0
590,0
48,0
1067,1
2962,1
3414,1
1381,1
1849,1
2925,0
3377,1
3183,1
1795,0
4383,0
2160,0
3379,0
1235,0
1479,1
1165,0
4114,1
2739,0
4082,1
1092,0
141,1
770,0
207,1
2164,0
4207,0
647,0
2917,0
533,1
845,0
1135,1
1308,0
832,1
3703,0
3088,1
2411,0
2216,1
2476,0
1884,0
1511,1
2295,0
38,1
1766,1
4065,1
3987,0
2536,0
2446,0
3851,1
4347,0
761,0
1791,0
734,1
1634,1
1398,1
2581,1
1116,1
2690,1
1970,0
3548,1
2650,0
2246,0
4510,0
1809,0
2544,1
3891,1
2018,1
4203,0
3982,0
1553,0
3579,0
2663,0
3560,0
3174,1
828,1
23,0
1056,0
3348,0
212,1
3001,0
1683,0
864,0
1836,1
871,1
4329,1
2797,0
880,0
446,0
762,0
3486,1
3701,1
2477,0
564,1
4072,0
4560,1
3312,0
4537,1
3215,0
2167,0
3676,0
3869,1
3605,0
3849,0
3298,0
3523,0
150,1
2652,1
1397,0
2334,1
1619,0
214,1
260,0
3359,1
996,1
1834,0
3953,1
3659,0
4559,0
2995,1
2964,1
3423,1
32,1
914,1
11,0
1806,0
2002,1
2525,0
3105,0
2592,0
1229,0
3041,0
1336,1
4563,0
2700,0
4501,0
2851,1
525,0
2936,0
4331,0
1722,0
1835,0
1837,0
3585,1
2864,0
3042,1
3175,0
3490,0
315,0
1151,1
3126,0
1842,0
4455,1
26,0
4037,1
1313,0
3169,0
4462,1
2360,1
117,0
3147,1
3272,0
934,1
3525,1
1130,1
2466,0
1728,1
2597,1
4038,1
2823,0
2529,1
4474,0
1089,1
152,1
1703,0
3792,1
1777,0
3702,1
3597,0
4324,0
4478,0
1118,0
784,0
2039,1
4060,1
2069,0
2097,1
2253,1
4392,1
1675,0
3545,1
4086,1
259,0
790,1
4006,0
445,0
2609,0
1253,0
2269,1
3327,0
4539,0
2776,0
3268,0
2046,1
3601,1
1416,1
3338,0
3783,0
4446,0
4159,0
1723,1
2522,0
1691,0
1965,0
2693,0
1009,1
1194,0
1157,0
2655,1
3639,1
3386,1
2975,1
2845,0
3717,0
1072,0
3878,0
658,1
3288,1
2834,0
921,0
2657,0
3244,0
4452,0
160,0
886,0
3345,0
195,0
4531,0
376,1
2204,0
3812,0
2342,1
1269,0
4556,0
4170,0
3421,0
4053,1
4135,0
1661,0
3846,0
1266,0
853,1
1426,1
972,1
2150,0
2733,0
3845,0
3019,0
2997,0
79,0
2610,0
3274,0
1914,0
2247,0
4198,0
4016,0
2052,1
882,0
3672,0
3193,1
3911,0
2238,0
3816,0
1202,0
3221,0
2116,0
2289,0
4056,0
4476,0
3292,1
1677,0
4579,0
516,0
1512,0
4210,1
1255,1
4104,0
2578,0
786,0
1826,0
1452,0
3039,0
1314,0
1805,0
54,0
2271,0
1124,0
1861,0
2991,1
1908,1
3604,0
4453,0
733,1
2205,1
2951,1
4543,0
364,1
139,0
2746,1
4607,0
2706,0
532,1
63,1
2621,0
3727,0
1275,0
43,0
3732,0
4629,0
3969,0
3405,0
3057,0
504,0
737,1
4458,1
3029,0
4239,1
332,0
2019,1
3820,0
2837,0
4276,0
3841,0
2920,1
2552,0
631,0
2080,1
4641,1
4417,1
3162,0
1457,0
2504,0
4587,1
3568,0
2938,0
1291,0
4204,1
3164,0
3127,1
4117,1
